,Unnamed: 0,card href,card-heading,card-img-top src,rating-badge,light,num-photos,mb-3,clickable,clickable 2,clickable 3,card-text,mb-3 2,mb-3 3,collection-cta,collection-cta href,btn,btn href,card-text 2,Time,TimeInNumber
11,11,https://www.holidify.com/places/puri/,"12. Puri, Orissa - Rath Yatra and the Beaches",https://www.holidify.com/res/images/patt.png,4.2,/5,View 38+ photos,Known For :,Sri Jagannath Puri Temple,Puri Beach,Markandeswara Temple,"One of the four must-visit pilgrimage sites for Hindus (Char-Dham), Puri is a beach city with its most famous attraction as the Jagannath temple and other attractions such as Chilka Lake, Konark sun temple etc. A festival for which you should travel to this beach town is the famous Konark Dance Festival, taking place from 21st - 23rd of February next year, makes Konark one of the places to visit in India in February One of the most celebrated platforms for arts, this one has the grand Sun temple in its backdrop.",July to March,Best Time:,28 Puri Attractions,https://www.holidify.com/places/puri/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/puri/hotels-where-to-stay.html,,February,2
12,12,https://www.holidify.com/places/kaziranga-national-park/,"13. Kaziranga National Park, Assam - Home to the One Horned Rhino",https://www.holidify.com/res/images/patt.png,3.7,/5,View 40+ photos,Best Time:,,,,"Kaziranga National Park, also included in the UNESCO World Heritage Sites is home to two-thirds of worlds one-horned rhinoceros population in the world. Wildlife enthusiasts also find a large number of tigers, elephants, wild water buffalo, and swamp deer. Situated in Assam, Kaziranga lies on the edge of the Eastern Himalayas biodiversity hot spot. Kaziranga is a super amazing place to visit in India in February as it is not too cold and the rains are also not a problem at this time of the year.",October to June,,,,View Packages,https://www.holidify.com/places/kaziranga-national-park/packages.html,,February,2
13,13,https://www.holidify.com/places/nasik/,"14. Nasik, Maharashtra - SulaFest!",https://www.holidify.com/res/images/patt.png,4.0,/5,View 10+ photos,Known For :,Panchvati,Sula Vineyard,"Dudhsagar falls, Nasik","An almost essential for February, this one has got on its itinerary the SulaFest! With music performances going on till late in the night, the Gourmet World Music Festival is a music lover's paradise. For the ultimate fest experience, make sure to stay in one of the tent accommodations. Nasik is surely one of the best places to visit in February in India.",July to March,Best Time:,39 Nasik Attractions,https://www.holidify.com/places/nasik/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/nasik/hotels-where-to-stay.html,,February,2
14,14,https://www.holidify.com/places/shekhawati/,"15. Shekhawati, Rajasthan - The Open Gallery Of Rajasthan",https://www.holidify.com/res/images/patt.png,3.9,/5,View 14+ photos,Known For :,Sikar,Churu,Nawalgarh,"Shekhawati is a semi-arid getaway full of open-air galleries, enchanting havelis & palaces and legendary forts. This region has been recognised as the ""open art gallery of Rajasthan"" having the largest concentration of frescos in the world. Shekhawati also hosts the Shekhawati festival in the month of February which sees visitors from many places including outside India to witness various folk dances, cultural programs and competitions",November to March,Best Time:,11 Shekhawati Attractions,https://www.holidify.com/places/shekhawati/sightseeing-and-things-to-do.html,,,,February,2
15,15,https://www.holidify.com/places/thekkady/,"16. Thekkady, Kerala - Periyar-India's Largest Tiger Reserve",https://www.holidify.com/res/images/patt.png,4.0,/5,View 20+ photos,Known For :,Periyar National Park,Periyar Tiger Trail,Bamboo Rafting,"A wildlife enthusiast or photographer has not completed his quest in India till he has not visited Thekkady at the least once. A literal heaven for nature lovers and people on family trips, Periyar National Park being the biggest Tiger Reserve in India is one of the best places to be in this season. Other than the tigers, these forests are home to various animals such as Deer, Elephants, Sambar, Nilgiri Langurs, etc. Once you're done with wildlife expeditions, do try Bamboo Rafting and Border Hiking. Kerala starts getting uncomfortably warm from next month onwards, hence February can give you an ideal just in time trip to Thekkady.",Throughout the year,Best Time:,17 Thekkady Attractions,https://www.holidify.com/places/thekkady/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/thekkady/packages.html,,February,2
16,16,https://www.holidify.com/places/alleppey/,"17. Alleppey, Kerala - Backwaters, Beaches and Lagoons - Venice of the East",https://www.holidify.com/res/images/patt.png,4.5,/5,View 62+ photos,Known For :,Stay in Houseboat,Marari Beach,Alappuzha Beach,"Extremely famous for its beautiful backwaters, the city of Alleppey in Kerala is also known for its beaches, temples and traditional boat races. This popular tourist destination also has some very well reputed Ayurvedic spas and wellness centres. Winters (October to February) are the best to visit and explore Alleppey. The city experiences temperatures between 18°C and 33°C. So the skies are clear, and a pleasantly breezy atmosphere encourages travellers to explore the city and its attractions. The waterways are opened allowing houseboat rides on the backwaters of Alleppey around this time of the year. Owing to the bright and beautiful weather, one can choose from a day-long cruise to an overnight journey to suit their requirement.",June to March,Best Time:,34 Alleppey Attractions,https://www.holidify.com/places/alleppey/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/alleppey/packages.html,,February,2
17,17,https://www.holidify.com/places/varanasi/,"18. Varanasi, Uttar Pradesh - The Spiritual Capital of India",https://www.holidify.com/res/images/patt.png,4.4,/5,View 23+ photos,Known For :,Kashi Vishwanath Temple,"Ganga Aarti, Varanasi",Dashashwamedh Ghat,"Host to the grandest celebrations of Mahashivratri, this one sure puts to use the long weekend, March brings this year. The spiritual capital of India gathers about a million devotees from all around the country who come for the famous Shiva Temple, that sits on the Ganges' banks, pleasant and enjoyable at this time of the year. Mahashivratri falls on the 8th of March this year.",October to March,Best Time:,38 Varanasi Attractions,https://www.holidify.com/places/varanasi/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/varanasi/hotels-where-to-stay.html,,February,2
18,18,https://www.holidify.com/places/kannur/,"19. Kannur, Kerala - The Crown of Kerala",https://www.holidify.com/res/images/patt.png,4.4,/5,View 10+ photos,Known For :,Payyambalam Beach,Muzhappilangad Beach,St Angelo Fort,"Bringing life to intriguing myths and exciting legends, the Theyyam festival is one of the most eagerly awaited festivals of the vibrant city of Kannur. Drawing the attention of thousands of people every year from across the country, this festival is renowned as the most remarkable and riveting art form of Malabar, the northern part of Kerala. This joyous celebration includes performances of over four hundred different traditional folk dances and is celebrated to appease the many local deities, gods, goddesses and heroes of the gripping ancient legends. Performers are dressed in attractive traditional costumes, captivating headgear and alluring ornaments with colourful face paints and creative face masks on. The festival is celebrated between December and February.",October to March,Best Time:,29 Kannur Attractions,https://www.holidify.com/places/kannur/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/kannur/packages.html,,February,2
19,19,https://www.holidify.com/places/yercaud/,"20. Yercaud, Tamil Nadu - The Land of Seven Forests.",https://www.holidify.com/res/images/patt.png,3.9,/5,View 28+ photos,Known For :,"Emerald Lake, Yercaud",Pagoda Point,"Botanical Garden, Yercaud","The Eastern Ghats are said to have their own and an economical version of Ooty in the form of Yercaud. Forests and water are in plenty at this place which means a plethora of beautiful sights to behold in form of Killiyur Falls, Emerald Lake and dense forests. Vast coffee plantations also make up for not having visited Darjeeling while at the same time being offbeat allows tourists much more peace and tranquillity at Yercaud than it's counterparts. Adventurous people may also look forward to trekking amidst the exotic flora and fauna. It's one of the best places to visit in India in February.",October to June,Best Time:,20 Yercaud Attractions,https://www.holidify.com/places/yercaud/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/yercaud/hotels-where-to-stay.html,,February,2
20,20,https://www.holidify.com/places/ludhiana/,"21. Ludhiana, Punjab - For the Kila Raipur Rural Olympics",https://www.holidify.com/res/images/patt.png,4.0,/5,View 19+ photos,Known For :,Lodhi Fort,Maharaja Ranjit Singh War Museum,Pavillion Mall,"Home to one of the quirkiest festivals you will come around anywhere in the world - Rural Olympics, Kila Raipur is an amazing village whose love for sports and recreation is unmatched anywhere else in the country. The small village is located just 15 km from the city of Ludhiana in Punjab and is like any other village of the state with huge fields of wheat and mustard that stretch as far as eyes can see, and a certain calmness and peace about it, except for the three days of February when the village transforms into a hub of sports, enthusiasm and celebration.",October to June,Best Time:,14 Ludhiana Attractions,https://www.holidify.com/places/ludhiana/sightseeing-and-things-to-do.html,,,,February,2
21,21,https://www.holidify.com/places/jodhpur/nagaur-fair-sightseeing-120655.html,22. Jodhpur - Nagaur Fair,https://www.holidify.com/res/images/patt.png,,,,,,,,"Nagaur Fair is a Cattle Fair that takes place in a town named 'Nagaur' and is primarily known as a Cattle Fair. This fair is all about the trading of animals, wherein the animals are presented with colourful accessories upon them. But, this fair is much more than that. It is particularly popular because of its sporty activities like the tug of war, and bullock and camel racing that it showcases. The Nagaur Fair is an eight-day affair, which takes place between the months of January and February.",,,,,,,,February,2
22,22,https://www.holidify.com/pages/kala-ghoda-arts-festival-1607.html,23. Mumbai for Kala Ghoda Festival,https://www.holidify.com/res/images/patt.png,4.2,/5,View 69+ photos,Known For :,Elephanta caves,"Marine Drive, Mumbai",Juhu Beach,"The Kala Ghoda Arts Festival is without a doubt one of the most awaited festivals each year. Held annually, it is an exhibition and celebration of theatre, music, theatre, films, comedy and world art. It is held every year in Mumbai and attracts over 150,000 people from the city and beyond. 2019 marks the twentieth edition of this festival which will be held in the Kala Ghoda Art District as it has been in the past years. This edition will also be special as the 150th birth anniversary of Mahatma Gandhi will be celebrated. 1st February, Saturday to 9th February, Sunday. It will be held for a total of 9 days. Daily, 10:00 AM to 10:00 PM",October to February,Best Time:,113 Mumbai Attractions,https://www.holidify.com/places/mumbai/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/mumbai/hotels-where-to-stay.html,Dates:,February,2
23,23,https://www.holidify.com/pages/surajkund-mela-364.html,24. Surajkund Mela,https://www.holidify.com/res/images/patt.png,,,,,,,,"Surajkund, meaning 'Lake of the Sun', is an ancient reservoir that was built by King Suraj Pal of the Tomar dynasty in the 10th century. Faridabad in Haryana, saw no tourism until it began hosting the 'Surajkund International Craft Mela'. A unique International craft festival, the Surajkund Mela is a platform for artists across the globe to showcase their culture and talent. Hosted annually by the Haryana Tourism Department in Surajkund, the mela has many offbeat attractions for tourists of every age. Over 20 countries from South Asia, Africa, and Europe actively participate in making this fair a huge success.  The festivities last a fortnight from around 1st to the 17th of February  9:30 AM to 7:00 PM",,,,,,,Dates:,February,2
24,24,https://www.holidify.com/places/kanha-national-park/,"25. Kanha National Park, Madhya Pradesh - The Land of Jungle Book",https://www.holidify.com/res/images/patt.png,3.7,/5,View 17+ photos,Best Time:,,,,"Located in a central region of Madhya Pradesh it is the largest National Park in central India and has been ranked as one of the best parks in Asia. Among the 22 species of large mammals, the royal Bengal tigers are a major attraction. One of the Tiger Reserves in India, the present-day area stretches over the 940-kilometre square.",October to June,,,,View Hotels,https://www.holidify.com/places/kanha-national-park/hotels-where-to-stay.html,,February,2
